City,State,Passengers,Upgrade Costs,Resource Demanded,Amount Demanded,Connects To,Region,
Albany,NY,10,"1,000/5,000/10,000",Lemon,50,"Kingston, Montpelier, Harrisburg",USA East,North America
Montpelier,VT,5,"500/1,000/5,000",Corn,25,"Albany, Ottawa, Augusta",USA East,
Augusta,ME,5,"500/1,000/5,000",Pig,25,"Sherbrooke, Montpelier, Halifax, Concord",USA East,
Concord,NH,5,"500/1,000/5,000",Wood,25,"Augusta, Boston",USA East,
Boston,MA,30,"50,000/500,000/1,000,000",Strawberry,350,"Concord, Providence",USA East,
Providence,RI,10,"1,000/5,000/10,000",Oil,50,"Boston, Hartford",USA East,
Hartford,CT,10,"1,000/5,000/10,000",Orange,50,"Providence, New York",USA East,
New York,NY,50,"500,000/1,000,000/2,000,000",BBQ Rib,1000,"Hartford, Trenton",USA East,
Trenton,NJ,10,"1,000/5,000/10,000",Pig,50,"New York, Philadelphia",USA East,
Philadelphia,PA,50,"500,000/1,000,000/2,000,000",Chicken,1000,"Trenton, Dover",USA East,
Dover,DE,5,"500/1,000/5,000",Corn,25,"Philadelphia, Baltimore",USA East,
Baltimore,MD,10,"1,000/5,000/10,000",Lemon,150,"Dover, Washington, D.C.",USA East,
Washington,DC,30,"50,000/500,000/1,000,000",Orange,350,"Baltimore, Richmond",USA East,
Richmond,VA,5,"500/1,000/5,000",Oil,25,"Washington, D.C., Raleigh",USA East,
Raleigh,NC,5,"500/1,000/5,000",Paper,150,"Richmond, Charleston, Columbia",USA East,
Charleston,WV,10,"1,000/5,000/10,000",Salmon,50,"Raleigh, Nashville, Columbus",USA East,
Columbus,OH,30,"50,000/500,000/1,000,000",Paper,350,"Charleston, Frankfort, Detroit",USA East,
Detroit,MI,30,"50,000/500,000/1,000,000",Corn,350,"Columbus, Indianapolis, Madison, London, Toledo",USA East,
Toledo,OH,5,"500/1,000/5,000",Pizza,25,"Detroit, Pittsburgh",USA East,
Pittsburgh,PA,15,"5,000/50,000/100,000",Cow,150,"Toledo, Harrisburg",USA East,
Harrisburg,PA,5,"500/1,000/5,000",Honey,25,"Pittsburgh, Albany",USA East,
Atlanta,GA,15,"5,000/50,000/100,000",Firework,150,"Columbia, Miami",USA South,
Miami,FL,15,"5,000/50,000/100,000",Copper,150,"Atlanta, Tallahassee",USA South,
Tallahassee,FL,10,"1,000/5,000/10,000",Paper,50,"Miami, Montgomery",USA South,
Montgomery,AL,10,"1,000/5,000/10,000",Wood,50,"Tallahassee, Jackson",USA South,
Jackson,MS,10,"1,000/5,000/10,000",Wheat,50,"Montgomery, Little Rock",USA South,
Little Rock,AK,5,"500/1,000/5,000",Salmon,25,"Jackson, New Orleans",USA South,
New Orleans,LA,50,"500,000/1,000,000/2,000,000",Corn,1000,"Little Rock, Baton Rouge",USA South,
Baton Rouge,LA,15,"5,000/50,000/100,000",Steel,150,"New Orleans, Houston",USA South,
Houston,TX,50,"500,000/1,000,000/2,000,000",Poutine,1000,"Baton Rouge, Austin",USA South,
Austin,TX,30,"50,000/500,000/1,000,000",Pizza,350,"Houston, Fort Stockton",USA South,
Fort Stockton,TX,5,"500/1,000/5,000",Strawberry,25,"Austin, El Paso, Dallas",USA South,
Dallas,TX,30,"50,000/500,000/1,000,000",Pig,350,"Fort Stockton, Oklahoma City",USA South,
Oklahoma City,OK,15,"5,000/50,000/100,000",Chicken,150,"Dallas, Santa Fe, Topeka",USA South,
Topeka,KS,10,"1,000/5,000/10,000",Apple,50,"Oklahoma City, Lincoln, Springfield, Jefferson City",USA South,
Jefferson City,MO,5,"500/1,000/5,000",Orange,25,"Topeka, Springfield, Memphis",USA South,
Memphis,TN,30,"50,000/500,000/1,000,000",Salmon,350,"Jefferson City, St. Louis, Frankfort",USA South,
Frankfort,KY,5,"500/1,000/5,000",Wood,25,"Memphis, Indianapolis, Columbus, Nashville",USA South,
Nashville,TN,30,"50,000/500,000/1,000,000",Cow,350,"Frankfort, Charleston, Columbia",USA South,
Columbia,SC,10,"1,000/5,000/10,000",BBQ Rib,50,"Nashville, Raleigh, Atlanta",USA South,
Billings,MT,10,"1,000/5,000/10,000",Carrot,50,"Helena, Rapid City",USA Center,
Rapid City,SD,5,"500/1,000/5,000",Honey,25,"Billings, Pierre",USA Center,
Pierre,SD,10,"1,000/5,000/10,000",Iron,50,"Rapid City, Regina, Bismarck",USA Center,
Bismarck,ND,10,"1,000/5,000/10,000",Copper,50,"Pierre, Saint Paul",USA Center,
Saint Paul,MN,10,"1,000/5,000/10,000",Hockey Stick,50,"Bismarck, Winnipeg, Madison",USA Center,
Madison,WI,10,"1,000/5,000/10,000",Paper,50,"Saint Paul, Detroit, Chicago",USA Center,
Chicago,IL,30,"50,000/500,000/1,000,000",Carrot,350,"Madison, Indianapolis",USA Center,
Indianapolis,IN,15,"5,000/50,000/100,000",Wheat,150,"Chicago, Detroit, Frankfort, St. Louis",USA Center,
St Louis,MO,15,"5,000/50,000/100,000",Wood,150,"Indianapolis, Memphis, Springfield",USA Center,
Springfield,IL,10,"1,000/5,000/10,000",Lemon,50,"St. Louis, Jefferson City, Topeka, Galesburg",USA Center,
Galesburg,IL,5,"500/1,000/5,000",Hockey Stick,25,"Springfield, Des Moines",USA Center,
Des Moines,IA,5,"500/1,000/5,000",Honey,25,"Galesburg, Lincoln",USA Center,
Lincoln,NE,10,"1,000/5,000/10,000",Pizza,50,"Des Moines, Topeka, Cheyenne",USA Center,
Cheyenne,WY,10,"1,000/5,000/10,000",Carrot,50,"Lincoln, Denver, Helena",USA Center,
