City,State,Size,Resource Demanded,Connects To,Region,Amount Demanded
Albany,NY,2,Lemon,"Kingston, Montpelier, Harrisburg",USA East,50
Montpelier,VT,1,Corn,"Albany, Ottawa, Augusta",USA East,25
Augusta,ME,1,Pig,"Sherbrooke, Montpelier, Halifax, Concord",USA East,25
Concord,NH,1,Wood,"Augusta, Boston",USA East,25
Boston,MA,4,Strawberry,"Concord, Providence",USA East,350
Providence,RI,2,Oil,"Boston, Hartford",USA East,50
Hartford,CT,2,Orange,"Providence, New York",USA East,50
New York,NY,5,BBQ Rib,"Hartford, Trenton",USA East,1000
Trenton,NJ,2,Pig,"New York, Philadelphia",USA East,50
Philadelphia,PA,5,Chicken,"Trenton, Dover",USA East,1000
Dover,DE,1,Corn,"Philadelphia, Baltimore",USA East,25
Baltimore,MD,3,Lemon,"Dover, Washington",USA East,150
Washington,DC,4,Orange,"Baltimore, Richmond",USA East,350
Richmond,VA,1,Oil,"Washington, Raleigh",USA East,25
Raleigh,NC,3,Paper,"Richmond, Charleston, Columbia",USA East,150
Charleston,WV,2,Salmon,"Raleigh, Nashville, Columbus",USA East,50
Columbus,OH,4,Paper,"Charleston, Frankfort, Detroit",USA East,350
Detroit,MI,4,Corn,"Columbus, Indianapolis, Madison, London, Toledo",USA East,350
Toledo,OH,1,Pizza,"Detroit, Pittsburgh",USA East,25
Pittsburgh,PA,3,Cow,"Toledo, Harrisburg",USA East,150
Harrisburg,PA,1,Honey,"Pittsburgh, Albany",USA East,25
Atlanta,GA,3,Firework,"Columbia, Miami",USA South,150
Miami,FL,3,Copper,"Atlanta, Tallahassee, The Bahamas, Havana",USA South,150
Tallahassee,FL,2,Paper,"Miami, Montgomery",USA South,50
Montgomery,AL,2,Wood,"Tallahassee, Jackson",USA South,50
Jackson,MS,2,Wheat,"Montgomery, Little Rock",USA South,50
Little Rock,AK,1,Salmon,"Jackson, New Orleans",USA South,25
New Orleans,LA,5,Corn,"Little Rock, Baton Rouge",USA South,1000
Baton Rouge,LA,3,Steel,"New Orleans, Houston",USA South,150
Houston,TX,5,Poutine,"Baton Rouge, Austin",USA South,1000
Austin,TX,4,Pizza,"Houston, Fort Stockton",USA South,350
Fort Stockton,TX,1,Strawberry,"Austin, El Paso, Dallas",USA South,25
Dallas,TX,4,Pig,"Fort Stockton, Oklahoma City",USA South,350
Oklahoma City,OK,3,Chicken,"Dallas, Santa Fe, Topeka",USA South,150
Topeka,KS,2,Apple,"Oklahoma City, Lincoln, Springfield, Jefferson City",USA South,50
Jefferson City,MO,1,Orange,"Topeka, Springfield, Memphis",USA South,25
Memphis,TN,4,Salmon,"Jefferson City, St. Louis, Frankfort",USA South,350
Frankfort,KY,1,Wood,"Memphis, Indianapolis, Columbus, Nashville",USA South,25
Nashville,TN,4,Cow,"Frankfort, Charleston, Columbia",USA South,350
Columbia,SC,2,BBQ Rib,"Nashville, Raleigh, Atlanta",USA South,50
Billings,MT,2,Carrot,"Helena, Rapid City",USA Center,50
Rapid City,SD,1,Honey,"Billings, Pierre",USA Center,25
Pierre,SD,2,Iron,"Rapid City, Regina, Bismarck",USA Center,50
Bismarck,ND,2,Copper,"Pierre, Saint Paul",USA Center,50
Saint Paul,MN,2,Hockey Stick,"Bismarck, Winnipeg, Madison",USA Center,50
Madison,WI,2,Paper,"Saint Paul, Detroit, Chicago",USA Center,50
Chicago,IL,4,Carrot,"Madison, Indianapolis",USA Center,350
Indianapolis,IN,3,Wheat,"Chicago, Detroit, Frankfort, St. Louis",USA Center,150
St. Louis,MO,3,Wood,"Indianapolis, Memphis, Springfield",USA Center,150
Springfield,IL,2,Lemon,"St. Louis, Jefferson City, Topeka, Galesburg",USA Center,50
Galesburg,IL,1,Hockey Stick,"Springfield, Des Moines",USA Center,25
Des Moines,IA,1,Honey,"Galesburg, Lincoln",USA Center,25
Lincoln,NE,2,Pizza,"Des Moines, Topeka, Cheyenne",USA Center,50
Cheyenne,WY,2,Carrot,"Lincoln, Denver, Helena",USA Center,50
Helena,MT,2,Oil,"Cheyenne, Boise, Calgary, Billings",USA Center,50
Albuquerque,NM,4,Iron,"El Paso, Santa Fe",USA West,350
Santa Fe,NM,2,Iron,"Albuquerque, Denver, Oklahoma City",USA West,50
Denver,CO,3,Chicken,"Santa Fe, Boise, Cheyenne",USA West,150
Boise,ID,2,Wheat,"Denver, Kennewick, Banff, Helena",USA West,50
Kennewick,WA,1,Cow,"Boise, Seattle",USA West,25
Seattle,WA,5,Parka,"Kennewick, Olympia, Vancouver",USA West,1000
Olympia,WA,2,Apple,"Seattle, Portland",USA West,50
Portland,OR,3,Poutine,"Olympia, Sacramento",USA West,150
Sacramento,CA,3,Orange,"Portland, San Francisco",USA West,150
San Francisco,CA,5,Micro Processor,"Sacramento, Los Angeles",USA West,1000
Los Angeles,CA,5,Pizza,"San Francisco, Las Vegas, Tijuana",USA West,1000
Las Vegas,NV,5,Water,"Los Angeles, Phoenix",USA West,1000
Phoenix,AZ,4,Lemon,"Las Vegas, Tucson",USA West,350
Tucson,AZ,2,Micro Processor,"Phoenix, El Paso",USA West,50
El Paso,TX,2,Copper,"Tucson, Albuquerque, Fort Stockton, Ciudad Juarez",USA West,50
Banff,AB,5,Oil,"Boise, Vancouver, Calgary",Canada West,1000
Calgary,AB,4,Firework,"Banff, Edmonton, Saskatoon, Helena",Canada West,350
Edmonton,AB,4,Steel,"Calgary, Fort McMurray",Canada West,350
Fort McMurray,AB,2,Water,"Edmonton, Wood Buffalo",Canada West,50
Wood Buffalo,AB,3,Pig,"Fort McMurray, Yellowknife",Canada West,150
Yellowknife,NT,1,Strawberry,"Wood Buffalo, Fort Simpson",Canada West,25
Fort Simpson,NT,1,Iron,"Yellowknife, Whitehorse",Canada West,25
Whitehorse,YT,1,Apple,"Fort Simpson, Iskut",Canada West,25
Iskut,BC,1,Orange,"Whitehorse, Hazelton",Canada West,25
Hazelton,BC,2,Corn,"Iskut, Kamloops",Canada West,50
Kamloops,BC,2,Poutine,"Hazelton, Vancouver",Canada West,50
Vancouver,BC,4,Micro Processor,"Kamloops, Banff, Seattle",Canada West,350
Regina,SK,3,Pig,"Pierre, Saskatoon, Winnipeg",Canada Center,150
Saskatoon,SK,3,Salmon,"Regina, Calgary, The Pas",Canada Center,150
The Pas,MB,1,Firework,"Saskatoon, Yorkton",Canada Center,25
Yorkton,SK,1,Apple,"The Pas, Winnipeg",Canada Center,25
Winnipeg,MB,3,Pizza,"Yorkton, Toronto, Saint Paul, Regina",Canada Center,150
